id,assessment,mark,created_at,note
1018913358,THEORETICAL_PARTICIPATION,0.25,2024-04-12,I must improve (New Mark) to reflect newly added student
87728,Assessment.QUIZ,5.5,2024-03-11,nothing
10003,PRACTICAL_QUIZ,10.0,2024-03-16,N/A
0011,THEORETICAL_PARTICIPATION,1.0,2024-03-17,just testing notes
0011,PRACTICAL_QUIZ,10.0,2024-03-17,n/a
0022,THEORETICAL_PARTICIPATION,1.0,2024-03-19,nothing to note for.
31745,THEORETICAL_PARTICIPATION,1.0,2024-03-23,n/a
10007,PRACTICAL_QUIZ,10.0,2024-04-08,first quiz
1018913318,PROJECTS,10.0,2024-04-22,I don't know.
1018913317,THEORETICAL_PARTICIPATION,0.25,2024-04-22,just testing the new Marks Module.
2222,PRACTICAL_QUIZ,1.5,2024-05-28,revising my application
10008,Assessment.PROJECTS,15.0,2024-03-16,N/A
0011,PROJECTS,5.0,2024-03-17,N/A
0011,VIOLATION,-1.0,2024-03-18,n/a
1212,VIOLATION,-0.5,2024-03-23,broke keyboard
5454,PRACTICAL_PARTICIPATION,1.0,2024-04-09,nothing for now
1018913317,PRACTICAL_QUIZ,10.0,2024-04-22,n/a
1018913358,THEORETICAL_PARTICIPATION,0.25,2024-04-12,I must improve (New Mark).
10006,PRACTICAL_PARTICIPATION,1.0,2024-03-16,N/A
1212,THEORETICAL_QUIZ,2.0,2024-03-23,n/a
999,VIOLATION,1.0,2024-04-22,Exceeding speed limit of 80 km
202020,THEORETICAL_QUIZ,9.0,2024-05-10,n/a
0011,PRACTICAL_PARTICIPATION,-2.0,2024-03-17,
10007,PROJECTS,1.5,2024-04-07,he didn't submit his project on time.
10001,Assessment.PROJECTS,2.0,2024-03-16,N/A
10001,VIOLATION,1.0,2024-04-26,n/a
10001,THEORETICAL_PARTICIPATION,0.25,2024-05-03,Testing
10001,VIOLATION,1.5,2024-06-18,n/a
10001,VIOLATION,-0.5,2024-09-07,n/a
10001,VIOLATION,3.0,2024-06-18,testing
10001,THEORETICAL_PARTICIPATION,0.25,2024-09-20,n/a
10001,PRACTICAL_QUIZ,2.5,2024-04-27,n/a
10001,THEORETICAL_PARTICIPATION,2.0,2024-06-18,n/a
